original_smiles,rationale_smiles,score
C1(=CC(CSC2=NN=C(C=3C=CC4=C(C3)C=CO4)O2)=CC=C1OC)C(F)(F)F,Cc1cccc(CSc2nnc(-c3ccccc3)o2)c1,0.6
O1C(=NN=C1C2=CC=C(C=C2)N(=O)=O)SCC=3C=CC=CC3,[NH3+]c1ccc(-c2nnc(SCc3ccccc3)o2)cc1,0.86
O1C(=NN=C1C2=CC=C(C=C2)N(=O)=O)SCC=3C=CC=CC3,c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,0.76
FC(F)(F)C1=NNC=2N=C3C(C(C21)(C4=CC=CC=C4)C)C(=O)CC(C3)(C)C,Cc1n[nH]c2c1C(c1ccccc1)C1CCCCC1=N2,0.58
C1=CC=2C(=CN(C2C(=C1)O)C)C=3C(NC(C3C4=COC=5C4=CC=CC5)=O)=O,Cn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.6
S1C2=C(C(C=3C=CC(F)=CC3)=CN=C2)C=C1C(=O)N,NC(=O)c1cc2c(-c3ccccc3)cncc2s1,0.93
S1C2=C(C(C=3C=CC(F)=CC3)=CN=C2)C=C1C(=O)N,NCc1cc2c(-c3ccccc3)cncc2s1,0.5
S1C2=C(C(C=3C=CC(F)=CC3)=CN=C2)C=C1C(=O)N,O=Cc1cc2c(-c3ccc(F)cc3)cncc2s1,0.51
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1,0.87
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,CC(=O)Nc1n[nH]c2nc(-c3ccco3)ccc12,0.6
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,CC(=O)Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12,0.68
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,O=CNc1n[nH]c2nc(-c3ccco3)c(Br)cc12,0.53
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,CNc1n[nH]c2nc(-c3ccco3)c(Br)cc12,0.56
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12,0.53
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,Brc1cc2c(NCC3CC3)n[nH]c2nc1-c1ccco1,0.56
BrC=1C=C2C(NC(=O)C3CC3)=NNC2=NC1C=4OC=CC4,CCNc1n[nH]c2nc(-c3ccco3)c(Br)cc12,0.51
C=12N(C=3C=CC(=CC3C1CC(=O)NC4=C2C=CC=C4)Br)CCO,Cn1c2c(c3ccccc31)CC(=O)Nc1ccccc1-2,0.6
C1=CC=2C(C=C1C=3SC=CC3)=NNC2NC(=O)C4CC4,CC(=O)Nc1[nH]nc2cc(-c3cccs3)ccc12,0.5
N1C(=C(C(=N1)O)N=NC=2C=CC(=CC2)OC)C=3C=C(C(OC)=C(C3)OC)OC,Oc1n[nH]c(-c2ccccc2)c1N=Nc1ccccc1,0.57
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,C#Cc1nc(C)cc2c1nc(-c1nonc1N)n2CC,0.8
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCn1c(-c2nonc2N)nc2c(C)nc(C)cc21,0.77
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnc(C)cc21,0.7
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnccc21,0.86
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cn1c(-c2nonc2N)nc2cnccc21,0.91
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCc1cc2c(nc(-c3nonc3N)n2CC)c(C)n1,0.77
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCc1cc2c(cn1)nc(-c1nonc1N)n2CC,0.71
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCc1cc2c(cn1)nc(-c1nonc1N)n2C,0.57
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cc1cc2c(cn1)nc(-c1nonc1N)n2C,0.59
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CC#Cc1nccc2c1nc(-c1nonc1N)n2CC,0.68
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,C#Cc1nccc2c1nc(-c1nonc1N)n2CC,0.64
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCn1c(-c2nonc2N)nc2c(C)nccc21,0.61
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnc(CCN)cc21,0.75
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cn1c(-c2nonc2N)nc2cnc(CCN)cc21,0.63
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCC#Cc1nccc2c1nc(-c1nonc1N)n2C,0.55
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CC#Cc1nccc2c1nc(-c1nonc1N)n2C,0.61
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,C#Cc1nccc2c1nc(-c1nonc1N)n2C,0.58
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cc1nccc2c1nc(-c1nonc1N)n2C,0.55
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CC#Cc1nc(C)cc2c1nc(-c1nonc1N)n2C,0.65
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,C#Cc1nc(C)cc2c1nc(-c1nonc1N)n2C,0.65
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cc1cc2c(nc(-c3nonc3N)n2C)c(C)n1,0.63
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,C#Cc1nc(CC)cc2c1nc(-c1nonc1N)n2C,0.61
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,CCc1cc2c(nc(-c3nonc3N)n2C)c(C)n1,0.57
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cn1c(-c2nonc2N)nc2c(C#CCO)nccc21,0.52
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CCN)C(N)=NON1,Cc1nc(CCN)cc2c1nc(-c1nonc1N)n2C,0.59
C=1C=CC=C(CSC=2OC(=NN2)C=3C=CC4=C(C3)CCO4)C1Cl,c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,0.76
N1N=C(NC(=O)[C@H](C2=CC=3C(C=C2)=CC=CC3)C)C=4CN(CC41)C(=O)NCCCC,C[C@H](C(=O)Nc1n[nH]c2c1CN(C)C2)c1ccccc1,0.52
ClC1=C(C2=C(C=3C=4C(N(C3)C)=CC=CC4)C(=O)NC2=O)C=C(Cl)C=C1,Cn1ccc(C2=C(c3ccccc3)C(=O)NC2=O)c1,0.71
ClC1=C(C2=C(C=3C=4C(N(C3)C)=CC=CC4)C(=O)NC2=O)C=C(Cl)C=C1,Cn1ccc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c1,0.76
ClC1=C(C2=C(C=3C=4C(N(C3)C)=CC=CC4)C(=O)NC2=O)C=C(Cl)C=C1,Cn1ccc(C2=C(c3cccc(Cl)c3)C(=O)NC2=O)c1,0.76
ClC=1C=CC(C2=NN(C=C2C3=NC=NC=C3)CCOC)=CC1,CCn1cc(-c2ccncn2)c(-c2ccc(Cl)cc2)n1,0.61
ClC=1C=CC(C2=NN(C=C2C3=NC=NC=C3)CCOC)=CC1,Cn1cc(-c2ccncn2)c(-c2ccc(Cl)cc2)n1,0.61
ClC=1C=CC(C2=NN(C=C2C3=NC=NC=C3)CCOC)=CC1,OCCn1cc(-c2ccncn2)c(-c2ccccc2)n1,0.53
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,O=C1NC(=O)C(c2cc[nH]c2)=C1c1ccccc1,0.72
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,COc1cccc(C2=C(c3cc[nH]c3)C(=O)NC2=O)c1,0.79
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,O=C1NC(=O)C(c2cccc(O)c2)=C1c1cc[nH]c1,0.72
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,O=C1NC(=O)C(c2cc(O)cc(O)c2)=C1c1cc[nH]c1,0.63
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,O=C1NC(=O)C(c2ccc(O)c(O)c2)=C1c1cc[nH]c1,0.66
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,O=C1NC(=O)C(c2cc[nH]c2)=C1c1ccc(O)cc1,0.61
N1C(C(=C(C1=O)C=2C=C(C(=C(C2)OC)OC)OC)C3=CNC=4C=CC=NC34)=O,COc1ccc(C2=C(c3cc[nH]c3)C(=O)NC2=O)cc1,0.62
N1=C(/C(=N/NC2=CC=C(C=C2)Cl)/C(N1)=O)C=3C=CC=CC3,O=C1NN=C(c2ccccc2)/C1=N/Nc1ccccc1,0.96
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,OCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.97
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.98
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.99
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.96
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Clc1cc(-c2c[nH]c3ncccc23)ccn1,0.92
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,COCCNc1cc(-c2c[nH]c3ncccc23)ccn1,0.9
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,OCCNc1cc(-c2c[nH]c3ncccc23)ccn1,0.88
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CCNc1cc(-c2c[nH]c3ncccc23)ccn1,0.89
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CNc1cc(-c2c[nH]c3ncccc23)ccn1,0.86
ClC1=NC(NCCOC)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Nc1cc(-c2c[nH]c3ncccc23)ccn1,0.87
CCN1C(=NC2=CC=CC=C12)C3=NON=C3N,Cn1c(-c2nonc2N)nc2ccccc21,0.91
C1(=C(C(NC1=O)=O)C2=COC3=C2C=CC=C3)C=4C=5C(N(C4)CCOC)=NC=CC5,Cn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.6
C1(=C(C(NC1=O)=O)C2=COC3=C2C=CC=C3)C=4C=5C(N(C4)CCOC)=NC=CC5,O=C1NC(=O)C(c2ccn(CCO)c2)=C1c1ccoc1,0.57
C1(=C(C(NC1=O)=O)C2=COC3=C2C=CC=C3)C=4C=5C(N(C4)CCOC)=NC=CC5,CCn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.57
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,NCCC(O)Cn1cc(I)c2c(N)ncnc21,0.71
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,CCC(O)Cn1cc(I)c2c(N)ncnc21,0.63
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,CC(O)C(O)Cn1cc(I)c2c(N)ncnc21,0.67
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,Nc1ncnc2c1c(I)cn2CC(O)CO,0.66
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,NCC(O)CCn1cc(I)c2c(N)ncnc21,0.66
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,NCCCCn1cc(I)c2c(N)ncnc21,0.6
IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N,CC(O)CCn1cc(I)c2c(N)ncnc21,0.57
O=C(N)C1=C2N=C(NC2=CC=C1)C3=NC(NCCCN(CC)CC)=CC=C3,CNc1cccc(-c2nc3c(C(N)=O)cccc3[nH]2)n1,0.63
O=C(N)C1=C2N=C(NC2=CC=C1)C3=NC(NCCCN(CC)CC)=CC=C3,NC(=O)c1cccc2[nH]c(-c3cccc(N)n3)nc12,0.55
C=12N(C=3C=CC(=CC3C1CC(=O)NC4=C2C=CC=C4)Br)CC,Cn1c2c(c3ccccc31)CC(=O)Nc1ccccc1-2,0.6
C=1(C=CC2=C(C1)C=NN2)C=3N=C4N(C3NC5CCCCC5)C=CS4,CNc1c(-c2ccc3[nH]ncc3c2)nc2sccn12,0.91
C=1(C=CC2=C(C1)C=NN2)C=3N=C4N(C3NC5CCCCC5)C=CS4,Nc1c(-c2ccc3[nH]ncc3c2)nc2sccn12,0.82
C=1(C=CC2=C(C1)C=NN2)C=3N=C4N(C3NC5CCCCC5)C=CS4,c1cn2cc(-c3ccc4[nH]ncc4c3)nc2s1,0.87
N1C(=NC2=C1C=C(C(C)(C)C)C=C2)C3=NNC4=C3C=CC=C4,Cc1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,0.52
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,CCC(C)n1cc(-c2ncnc3[nH]ccc23)cn1,0.72
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,CC(C)n1cc(-c2ncnc3[nH]ccc23)cn1,0.65
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,CCn1cc(-c2ncnc3[nH]ccc23)cn1,0.64
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,CC(CC#N)n1cc(-c2ncnc3[nH]ccc23)cn1,0.73
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,N#CCCn1cc(-c2ncnc3[nH]ccc23)cn1,0.59
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,CCCn1cc(-c2ncnc3[nH]ccc23)cn1,0.62
N1(N=CC(C2=NC=NC=3NC=CC23)=C1)C(C4CCCC4)CC#N,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,0.68
C1=CC(=C2N(C=C(C2=C1)C=3C(NC(C3C4=COC=5C4=CC=CC5)=O)=O)C)COC,Cn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.6
N1=C(/C(=N/NC2=CC(=CC=C2)OC)/C(N1)=O)C3=CC=C(C=C3)OC,O=C1NN=C(c2ccccc2)/C1=N/Nc1ccccc1,0.96
ClC=1SC(C(=O)C=2SC(=NC2N)NCC)=CC1,CCNc1nc(N)c(C(=O)c2cccs2)s1,0.72
ClC=1SC(C(=O)C=2SC(=NC2N)NCC)=CC1,CNc1nc(N)c(C(=O)c2ccc(Cl)s2)s1,0.69
O1C(=NN=C1SCC=2C=C(C(=O)OC)C=CC2)C3=CC=NC=C3,Cc1cccc(CSc2nnc(-c3ccncc3)o2)c1,0.8
O1C(=NN=C1SCC=2C=C(C(=O)OC)C=CC2)C3=CC=NC=C3,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,0.9
ClC1=CC(C2=NNC=C2C3=NC=NC=C3)=CC=C1Cl,Clc1ccc(-c2n[nH]cc2-c2ccncn2)cc1,0.66
ClC1=CC(C2=NNC=C2C3=NC=NC=C3)=CC=C1Cl,c1ccc(-c2n[nH]cc2-c2ccncn2)cc1,0.61
ClC1=CC(C2=NNC=C2C3=NC=NC=C3)=CC=C1Cl,Clc1cccc(-c2n[nH]cc2-c2ccncn2)c1,0.64
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCN(CO)CC1N(C)c1ncnc2[nH]ccc12,0.78
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCN(C)CC1N(C)c1ncnc2[nH]ccc12,0.76
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCNCC1N(C)c1ncnc2[nH]ccc12,0.71
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CN(c1ncnc2[nH]ccc12)C1CCCNC1,0.68
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CCN1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,0.75
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CCN1CCCC(N(C)c2ncnc3[nH]ccc23)C1,0.67
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CN1CCCC(N(C)c2ncnc3[nH]ccc23)C1,0.69
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CN1CCCC(Nc2ncnc3[nH]ccc23)C1,0.54
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,c1nc(NC2CCCNC2)c2cc[nH]c2n1,0.57
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC(O)N1CCCC(N(C)c2ncnc3[nH]ccc23)C1,0.71
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CN(c1ncnc2[nH]ccc12)C1CCCN(CO)C1,0.69
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,OCN1CCCC(Nc2ncnc3[nH]ccc23)C1,0.57
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCN(C(C)O)CC1Nc1ncnc2[nH]ccc12,0.56
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CCN1CCC(C)C(Nc2ncnc3[nH]ccc23)C1,0.59
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCN(C)CC1Nc1ncnc2[nH]ccc12,0.64
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCNCC1Nc1ncnc2[nH]ccc12,0.57
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CN(c1ncnc2[nH]ccc12)C1CCCN(CC=O)C1,0.67
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,O=CCN1CCCC(Nc2ncnc3[nH]ccc23)C1,0.52
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CCN1CCCC(Nc2ncnc3[nH]ccc23)C1,0.55
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC(O)N1CCCC(Nc2ncnc3[nH]ccc23)C1,0.53
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCN(CC=O)CC1Nc1ncnc2[nH]ccc12,0.53
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,O=CC(O)N1CCCC(Nc2ncnc3[nH]ccc23)C1,0.55
OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O,CC1CCN(CO)CC1Nc1ncnc2[nH]ccc12,0.58
C1(C(C(=O)NC1=O)=NC=2C=C(Cl)C=CC2)C3=CC=C(C=C3)OC,O=C1NC(=O)C(c2ccccc2)C1=Nc1ccccc1,0.97
S1C2=NNC(=C2C=C1C(=O)NC)C=3C(F)=CC=CC3,CNC(=O)c1cc2c(-c3ccccc3)[nH]nc2s1,0.73
S1C2=NNC(=C2C=C1C(=O)NC)C=3C(F)=CC=CC3,NC(=O)c1cc2c(-c3ccccc3)[nH]nc2s1,0.58
O1C(=NN=C1SCC=2C=C(C(=CC2)OC)F)C=3C=CC4=C(CCO4)C3,c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,0.76
O1C(=NN=C1SCC=2C=C(C(=CC2)OC)F)C=3C=CC4=C(CCO4)C3,Fc1cccc(CSc2nnc(-c3ccccc3)o2)c1,0.61
O1C(=NN=C1SCC=2C=C(C(=CC2)OC)F)C=3C=CC4=C(CCO4)C3,Oc1ccc(CSc2nnc(-c3ccccc3)o2)cc1,0.51
C1(C(C(=O)NC1=O)=NC2=CC=C(C=C2)SC)C=3C=CC(N(=O)=O)=CC3,O=C1NC(=O)C(c2ccccc2)C1=Nc1ccccc1,0.97
O=C(N)C1=C2N=C(NC2=CC=C1)C3=NC(NCCCN4CCN(CC4)C)=CC=C3,CNc1cccc(-c2nc3c(C(N)=O)cccc3[nH]2)n1,0.63
O=C(N)C1=C2N=C(NC2=CC=C1)C3=NC(NCCCN4CCN(CC4)C)=CC=C3,NC(=O)c1cccc2[nH]c(-c3cccc(N)n3)nc12,0.55
C1(=C(C(=O)NC1=O)NC2=CC=C(C=C2)SC)C3=CC(N(=O)=O)=CC=C3,O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,0.86
S\1N(C(=N/C1=N\CCCCC)C=2C=CC=CC2)C3=CC=CC=C3,CC/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,0.88
S\1N(C(=N/C1=N\CCCCC)C=2C=CC=CC2)C3=CC=CC=C3,C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,0.81
S\1N(C(=N/C1=N\CCCCC)C=2C=CC=CC2)C3=CC=CC=C3,N=c1nc(-c2ccccc2)n(-c2ccccc2)s1,0.72
S1C=2N=C(O)N3N=C(N=C3C2C4=C1CCCC4)C=5C=CN=CC5,Oc1nc2sccc2c2nc(-c3ccncc3)nn12,0.82
C1(C(=O)OCC1=CC2=CC=C(C=C2)O)C3=CC=C(C=C3)O,O=C1OCC(=Cc2ccc(O)cc2)C1c1ccccc1,0.56
C1(C(=O)OCC1=CC2=CC=C(C=C2)O)C3=CC=C(C=C3)O,O=C1OCC(=Cc2ccccc2)C1c1ccc(O)cc1,0.55
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CC(C)CNc1nccc(-c2c[nH]c3ncccc23)n1,0.95
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CCCNc1nccc(-c2c[nH]c3ncccc23)n1,0.96
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CCNc1nccc(-c2c[nH]c3ncccc23)n1,0.97
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CNc1nccc(-c2c[nH]c3ncccc23)n1,0.95
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,Nc1nccc(-c2c[nH]c3ncccc23)n1,0.94
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CCCNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1,0.93
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CCNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1,0.94
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CNc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1,0.92
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,Nc1nc(Cl)cc(-c2c[nH]c3ncccc23)n1,0.99
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,Clc1cc(-c2c[nH]c3ncccc23)ncn1,0.98
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,NCCCNc1nccc(-c2c[nH]c3ncccc23)n1,0.94
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,NCCCNc1nccc(-c2cc[nH]c2)n1,0.58
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CC(C)(C)CNc1nccc(-c2cc[nH]c2)n1,0.58
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CC(C)CNc1nccc(-c2cc[nH]c2)n1,0.56
ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NCC(CN)(C)C,CC(CN)CNc1nccc(-c2cc[nH]c2)n1,0.59
FC1=C(C2C3C(=NC=4NN=C(C24)C(F)(F)F)CC(CC3=O)(C)C)C=C(F)C=C1,Cc1n[nH]c2c1C(c1ccccc1)C1CCCCC1=N2,0.58
N1C(=C(C(=N1)O)N=NC=2C=CC(=CC2)N(C)C)C=3C=C(C(OC)=CC3)OC,Oc1n[nH]c(-c2ccccc2)c1N=Nc1ccccc1,0.57
COC1=CC(/C=N/NC=2N=CN=C3NN=CC23)=CC=C1O,Oc1ccc(/C=N/Nc2ncnc3[nH]ncc23)cc1O,0.7
COC1=CC(/C=N/NC=2N=CN=C3NN=CC23)=CC=C1O,Oc1cccc(/C=N/Nc2ncnc3[nH]ncc23)c1,0.6
COC1=CC(/C=N/NC=2N=CN=C3NN=CC23)=CC=C1O,COc1cccc(/C=N/Nc2ncnc3[nH]ncc23)c1,0.6
COC1=CC(/C=N/NC=2N=CN=C3NN=CC23)=CC=C1O,Oc1ccc(/C=N/Nc2ncnc3[nH]ncc23)cc1,0.57
ClC1=NC(NCC(CNS(=O)(=O)C)(C)C)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.97
ClC1=NC(NCC(CNS(=O)(=O)C)(C)C)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.98
ClC1=NC(NCC(CNS(=O)(=O)C)(C)C)=CC(C=2C=3C(NC2)=NC=CC3)=C1,CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.99
ClC1=NC(NCC(CNS(=O)(=O)C)(C)C)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,0.96
ClC1=NC(NCC(CNS(=O)(=O)C)(C)C)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Clc1cc(-c2c[nH]c3ncccc23)ccn1,0.92
